PARTIDO;NIVEL ;DEPARTAMENTO;HOJA;CANDIDATO;MEDIO;DESCRIPCIÓN DEL GASTO;MONTO
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;24/10/2014 - CONTRIB. C. LARGO -MEDIOS;100000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;12/11/2014 - CONTRIB. SORIANO -MEDIOS;117819
Independiente;Presidencia;;;Pablo Mieres- Conrado Ramos;ORAL;Publicidad oral;1.021.153
Colorado;Presidencia;;;Pedro Bordaberry- Germán Coutinho;ORAL;Minutos contratados;1.152.207 
Colorado;Senado;;;José Amorín;ORAL;Publicidad en Radio;295045
Colorado;Senado;;;Pedro Bordaberry;ORAL;Minutos contratados;2236638
Colorado;Diputados;Canelones;10;Graciela Matiaude;ORAL;Publicidad y espacios;47349
Colorado;Diputados;Canelones;1015;Daniela Barindelli;ORAL;Publicidad Oral (Radios, callejera);101070
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - El Espectador;296547
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Alfa FM;102480
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Universal;82960
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - La Ley FM;114192
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Azul FM;195200
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Tiempo Presente;36600
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Oceano FM;247660
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Montecarlo SA;331840
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Aire FM;170373
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Radio Carve;79300
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - FM Inolvedable;109800
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Radio Rural;102480
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Publinter;3113606
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Sarandi;732000
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Oriental;109800
