 PARTIDO ; DEPARTAMENTO ; NIVEL ; HOJA ; CANDIDATO_1 ; INGRESOS_TOT ; INGRESOS_NET ; FIN_PUB ; FIN_INT ; CES_FON ; FIN_PRIV ; VOTOS ; BANCAS ; PERSONAS ; EMPRESAS ; ANONIMA ; CANDIDATOS ; OTROS ; EGRESOS_TOT ; EGRESOS_NET ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 983 ; MICHAEL CARLOS SKAFAR ; 3.236.788 ; 2.342.418 ; 1.559.190 ; 1.364.598 ; 894.370 ; 313.000 ; 6.111 ; -   ; -   ; -   ; -   ; 300.000 ; 13.000 ; 1.889.338 ; 1.088.518 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 1.001 ; OSCAR ANDRADE ; 294.425 ; -   ; 294.425 ; -   ; 294.425 ; -   ; 2.853 ; -   ; -   ; -   ; -   ; -   ; -   ; 294.425 ; -   ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 1.642 ; DAMIAN BATISTA ; 36.636 ; 36.636 ; 36.636 ; -   ; -   ; -   ; 359 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 1.968 ; PABLO DANIEL CABRERA STALLATELLI ; 47.645 ; 17.902 ; 47.645 ; -   ; 29.743 ; -   ; 239 ; -   ; -   ; -   ; -   ; -   ; -   ; 42.187 ; 12.445 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 2.121 ; WILLIAM DANIEL GEYMONAT PEREZ ; 1.092.506 ; 384.530 ; 707.976 ; 335.750 ; 707.976 ; 48.780 ; 6.937 ; -   ; -   ; 48.780 ; -   ; -   ; -   ; 1.081.142 ; 373.166 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 800.440 ; ANTONIO LONGANO ; 88.770 ; 22.000 ; 66.770 ; -   ; 66.770 ; 12.000 ; 647 ; -   ; -   ; -   ; -   ; 12.000 ; -   ; 88.650 ; 21.880 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 3.293.311 ; LUIS PURTSCHER ; 184.914 ; 184.914 ; 184.914 ; -   ; -   ; -   ; 1.601 ; -   ; -   ; -   ; -   ; -   ; -   ; 31.487 ; 31.487 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 7.117.705 ; LUIS MENORET ; 20.000 ; 20.000 ; -   ; 20.000 ; -   ; -   ; 5.476 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.000 ; 20.000 ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 711 ; MARGARETH ALONSO ; 20.000 ; 20.000 ; -   ; 20.000 ; -   ; -   ; 2.603 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.000 ; 20.000 ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 9.491 ; -   ; 9.491 ; -   ; 9.491 ; -   ; 93 ; -   ; -   ; -   ; -   ; -   ; -   ; 9.491 ; -   ;;
