PARTIDO;DEPARTAMENTO;NIVEL;HOJA;CANDIDATO_1;INGRESOS_TOT;INGRESOS_NET;FIN_PUB;FIN_INT;CES_FON;FIN_PRIV;VOTOS;BANCAS;PERSONAS;EMPRESAS;ANONIMA;CANDIDATOS;OTROS;EGRESOS_TOT;EGRESOS_NET
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;1303;GONZALO REBOLEDO;432772;432772;253572;0;0;179200;2576;0;0;0;0;40000;139200;391581,4;391581,4
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;1419;JUAN BERNARDO TRECCA TRAPANI;319543;27994;550092;0;291549;61000;2156;0;0;0;36000;20000;5000;58,853;-291490,147
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;1642;CHRISTIAN DI CANDIA;459505;459505;375952;0;0;83553;3684;0;0;0;50853;20000;12700;615212;615212
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;1968;PABLO DANIEL CABRERA STALLATELLI;400915;133232;400915;0;267683;0;1834;0;0;0;0;0;0;433759,7385;166077,0136
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;2121;CARLOS RICARDO VARELA NESTIER;14104283;11835362;5500414;5115149;2268921;3488720;53895;3;333460;2186368;72000;896892;0;14104283;11835362
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;3041;CARLOS ALBERTO RODRIGUEZ;162394;106140;106140;0;56254;0;433;0;0;0;0;0;0;70366,5;14112,5
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;3311;LUIS PUIG;2133355;503255;2133355;0;1630101;0;20905;1;0;0;0;0;0;2131390,5;501290
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;6009;VICTOR SEMPRONI;6914130;6914130;5867964;248761;0;760318;17145;1;0;69499;0;690819;0;981018;981018
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;7152;JORGE MACIAS;38677;22711;38677;0;15966;0;379;0;0;0;0;0;0;0;-15966
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;7373;ANGEL ANTRONIO SÁNCHEZ SILVA;347678;0;347678;0;347678;0;3369;0;0;0;0;0;0;347678;0
